species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Cricotopus obnixus,AAA5311,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Aedes vexans,AAA7067,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Chrysotoxum ventricosum,AAA7273,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Paratanytarsus austriacus,AAA7954,Aquatic,NonFeeding,Detritus and Algae Feeding
Limnophyes minimus,AAA8204,SemiAquatic,NonFeeding,Saprophagous
Eristalis brousii,AAA8223,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Simulium silvestre,AAA8323,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Metriocnemus sp. 1ES,AAA9429,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Metriocnemus sp. 4ES,AAA9431,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Metriocnemus brusti,AAA9438,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Platycheirus quadratus,AAA9506,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Corynoneura arctica,AAB0079,Aquatic,NonFeeding,Detritus and Algae Feeding
Corynoneura arctica,AAB0080,Aquatic,NonFeeding,Detritus and Algae Feeding
Smittia sp. 16ES,AAB0375,Terrestrial,NonFeeding,Detritus and Algae Feeding
Smittia sp. ES12,AAB0377,Terrestrial,NonFeeding,Detritus and Algae Feeding
Smittia sp. ES11,AAB0378,Terrestrial,NonFeeding,Detritus and Algae Feeding
Hybomitra lurida,AAB0648,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Cynomya cadaverina,AAB0868,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Simulium sp. BOLDAAB1114,AAB1114,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Simulium furculatum,AAB1117,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Chrysops furcatus,AAB1142,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous or Saprophagous
Eristalis dimidiata,AAB1409,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Platycheirus granditarsis,AAB1554,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Limnophyes ninae,AAB1813,SemiAquatic,NonFeeding,Saprophagous
Coquillettidia perturbans,AAB2539,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Orthocladius mallochi,AAB2644,Aquatic,NonFeeding,Detritus and Algae Feeding
Limnophora sp. 1 AKR,AAB2730,Aquatic,Predaceous,Predaceous
Dasysyrphus intrudens sp. complex,AAB2863,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Dasysyrphus pauxillus,AAB2865,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Melanostoma mellinum,AAB2866,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Metacnephia borealis,AAB3041,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Rhagio mystaceus,AAB3308,Terrestrial,Predaceous,Predaceous
Micropsectra logani,AAB3857,Aquatic,NonFeeding,Detritus and Algae Feeding
Chironomus maturus,AAB4657,Aquatic,NonFeeding,Detritus and Algae Feeding
Spilogona contractifrons,AAB5278,Aquatic,Predaceous,Predaceous
Polypedilum aviceps,AAB5362,Aquatic,NonFeeding,Leaf/Root/Stem Feeding or Detritus and Algae Feeding
Syrphus vitripennis,AAB5577,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Coenosia tigrina,AAB5609,Terrestrial,Predaceous,Predaceous
Aedes canadensis,AAB5696,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Smidtia fumiferanae,AAB5914,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Thricops villicrus,AAB6566,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Calliphora loewi,AAB6579,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Culex territans,AAB6943,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Limnophyes natalensis,AAB7359,SemiAquatic,NonFeeding,Saprophagous
Limnophyes natalensis,AAB7361,SemiAquatic,NonFeeding,Saprophagous
Tvetenia paucunca,AAB7490,Aquatic,NonFeeding,Detritus and Algae Feeding
Drosophila falleni,AAB7507,Terrestrial,Saprophagous,Saprophagous
Limnophyes brachytomus,AAB7912,SemiAquatic,NonFeeding,Saprophagous
Lispe tentaculata,AAB8429,Aquatic,Predaceous,Predaceous and Saprophagous
Actia interrupta,AAB8437,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Halocladius variabilis,AAB8751,Aquatic,NonFeeding,Detritus and Algae Feeding
Minettia lupulina,AAB8787,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Muscina levida,AAB8817,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Muscina sp. 1 AKR,AAB8818,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Drosophila affinis,AAB8851,Terrestrial,Saprophagous,Saprophagous
Metriocnemus eurynotus,AAB8860,Aquatic,NonFeeding,Leaf/Root/Stem Feeding
Phormia regina,AAB9140,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitic
Limnophora rotundata,AAB9451,Aquatic,Predaceous,Predaceous
Orthocladius sp. TE13,AAC0069,Aquatic,NonFeeding,Detritus and Algae Feeding
Spilogona griseola,AAC0135,Aquatic,Predaceous,Predaceous
Chironomus sp. 8TE,AAC0595,Aquatic,NonFeeding,Detritus and Algae Feeding
Chironomus sp. 9TE,AAC0596,Aquatic,NonFeeding,Detritus and Algae Feeding
Dicrotendipes tritomus,AAC0706,Aquatic,NonFeeding,Detritus and Algae Feeding
Chironomus acidophilus,AAC0903,Aquatic,NonFeeding,Detritus and Algae Feeding
Aedes cinereus,AAC1222,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Toxomerus geminatus,AAC1312,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Parochlus kiefferi,AAC1427,Aquatic,NonFeeding,Detritus and Algae Feeding
Parasyrphus tarsatus,AAC1834,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Coenosia campestris,AAC1880,Terrestrial,Predaceous,Predaceous
Tetanocera plumosa,AAC2266,Aquatic,Nectar/Pollen/Honeydew Feeding,Predaceous
Helina evecta,AAC2498,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Limnophora sp. 2 AKR,AAC2702,Aquatic,Predaceous,Predaceous
Sepsis neocynipsea,AAC2855,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Tanytarsus heliomesonyctios,AAC2863,Aquatic,NonFeeding,Detritus and Algae Feeding
Nanocladius anderseni,AAC3041,Aquatic,NonFeeding,Detritus and Algae Feeding
Cryptotendipes darbyi,AAC3084,Aquatic,NonFeeding,Detritus and Algae Feeding
Tanytarsus recurvatus,AAC3354,Aquatic,NonFeeding,Detritus and Algae Feeding
Paraphaenocladius impensus,AAC4197,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Paraphaenocladius impensus,AAC4201,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Micropsectra polita,AAC4403,Aquatic,NonFeeding,Detritus and Algae Feeding
Coenosia transiens,AAC4500,Terrestrial,Predaceous,Predaceous
Temnostoma excentrica,AAC4506,SemiAquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Tanytarsus guerlus,AAC4525,Aquatic,NonFeeding,Detritus and Algae Feeding
Tanytarsus inaequalis,AAC4536,Aquatic,NonFeeding,Detritus and Algae Feeding
Spilogona suspecta,AAC4649,Aquatic,Predaceous,Predaceous
Conchapelopia pallens,AAC4803,Aquatic,NonFeeding,Predaceous
Coenosia octopunctata,AAC6280,Terrestrial,Predaceous,Predaceous
Platycheirus peltatoides,AAC6630,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Dryomyza anilis,AAC6974,Terrestrial,Saprophagous,Saprophagous
Drosophila neotestacea,AAC7070,Terrestrial,Saprophagous,Mycophagous
Helina flavisquama,AAC7186,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Morellia podagrica,AAC7840,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Tanytarsus herrmanni,AAC8203,Aquatic,NonFeeding,Detritus and Algae Feeding
Ablabesmyia americana,AAC8567,Aquatic,NonFeeding,Predaceous
Paratanytarsus laccophilus,AAC8842,Aquatic,NonFeeding,Detritus and Algae Feeding
Coenosia verralli,AAC8884,Terrestrial,Predaceous,Predaceous
Culiseta inornata,AAC9132,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Limnophyes schnelli,AAC9278,SemiAquatic,NonFeeding,Saprophagous
Protophormia terraenovae,AAC9614,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitic
Ptecticus trivittatus,AAC9839,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Stempellinella fimbriata,AAD0300,Aquatic,NonFeeding,Detritus and Algae Feeding
Psectrocladius barbimanus,AAD0484,Aquatic,NonFeeding,Detritus and Algae Feeding
Helina reversio,AAD0642,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Meliscaeva cinctella,AAD0765,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Scathophaga stercoraria,AAD0853,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Saprophagous
Hybomitra illota,AAD1086,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Paratanytarsus grimmii,AAD1485,Aquatic,NonFeeding,Detritus and Algae Feeding
Limnophyes asquamatus,AAD1720,SemiAquatic,NonFeeding,Saprophagous
Cerodontha dorsalis,AAD1945,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Arctopelopia melanosoma,AAD2100,Aquatic,NonFeeding,Predaceous
Tanytarsus wirthi,AAD2144,Aquatic,NonFeeding,Detritus and Algae Feeding
Tanytarsus volgensis,AAD2169,Aquatic,NonFeeding,Detritus and Algae Feeding
Thricops albibasalis,AAD2373,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Mydaea affinis,AAD2891,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Platycheirus scambus,AAD3756,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Psectrocladius fennicus,AAD4713,Aquatic,NonFeeding,Detritus and Algae Feeding
Prosimulium arvum,AAD4764,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding and Predaceous
Derotanypus alaskensis,AAD5969,Aquatic,NonFeeding,Predaceous
Myospila meditabunda,AAD7145,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Procladius sp. ES04,AAD7251,Aquatic,NonFeeding,Predaceous
Coenosia intacta,AAD7636,Terrestrial,Predaceous,Predaceous
Spilogona sororcula,AAD8449,Aquatic,Predaceous,Predaceous
Spilogona imitatrix,AAD8451,Aquatic,Predaceous,Predaceous
Chrysops calvus,AAD8585,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous or Saprophagous
Hybomitra zonalis,AAD8656,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Anasimyia diffusus,AAD8954,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Orthocladius oblidens,AAD8971,Aquatic,NonFeeding,Detritus and Algae Feeding
Mydaea occidentalis,AAE0058,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Mydaea pseudonubila,AAE0077,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Procladius cf. ruris,AAE0538,Aquatic,NonFeeding,Predaceous
Microtendipes pedellus,AAE0707,Aquatic,NonFeeding,Detritus and Algae Feeding
Spilogona novemmaculata,AAE2784,Aquatic,Predaceous,Predaceous
Lispocephala alma,AAE3275,Terrestrial,Predaceous,Predaceous
Paratanytarsus sp. TE03,AAE3675,Aquatic,NonFeeding,Detritus and Algae Feeding
Paratanytarsus sp. 1ES,AAE3676,Aquatic,NonFeeding,Detritus and Algae Feeding
Paraphaenocladius brevinervis,AAE3721,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Eukiefferiella claripennis,AAE4568,Aquatic,NonFeeding,Detritus and Algae Feeding
Pipunculus hertzogi,AAE4793,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Nilotanypus fimbriatus,AAE5762,Aquatic,NonFeeding,Predaceous
Phaonia luteva,AAE6220,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Phaonia errans,AAE6221,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Helina obscurata,AAE6931,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Tipula paludosa,AAE7386,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding and Saprophagous
Eudorylas subopacus,AAE8760,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Coenosia mollicula,AAE8903,Terrestrial,Predaceous,Predaceous
Coenosia conforma,AAE8917,Terrestrial,Predaceous,Predaceous
Schoenomyza dorsalis,AAE9281,Terrestrial,Predaceous,Predaceous
Sericomyia chalcopyga,AAF0827,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Hybomitra lasiophthalma,AAF0889,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Cerodontha muscina,AAF1051,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Platycheirus obscurus,AAF1237,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Cladotanytarsus amandus,AAF2964,Aquatic,NonFeeding,Detritus and Algae Feeding
Ablabesmyia aspera,AAF3628,Aquatic,NonFeeding,Predaceous
Eutrichota lipsia,AAF4234,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Discobola annulata,AAF4967,Aquatic,NonFeeding,Saprophagous
Phaonia consobrina,AAF6699,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Liriomyza brassicae,AAF6806,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Micropsectra subletteorum,AAF7088,Aquatic,NonFeeding,Detritus and Algae Feeding
Allocladius sp. 1ES,AAF8904,Aquatic,NonFeeding,Detritus and Algae Feeding
Symplecta sp. BOLDAAF9014,AAF9014,Aquatic,NonFeeding,Saprophagous
Elephantomyia westwoodi,AAF9064,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Psychoda alternata,AAF9306,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Psychoda phalaenoides,AAF9317,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Psila lateralis,AAF9707,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Bicellaria furcifer,AAF9752,Terrestrial,Predaceous,Predaceous
Euhybus triplex,AAF9778,Terrestrial,Predaceous,Predaceous
Chelipoda truncata,AAF9790,Aquatic,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Rhamphomyia debilis grp. sp. BJS7,AAF9800,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Rhamphomyia latilobata,AAF9802,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Rhamphomyia nigrita,AAF9804,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Bicellaria bisetosa,AAF9807,Terrestrial,Predaceous,Predaceous
Rhamphomyia pendens,AAF9811,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Bicellaria lugubris,AAF9812,Terrestrial,Predaceous,Predaceous
Hybos reversus,AAF9847,Terrestrial,Predaceous,Predaceous
Platypalpus nr. hyaenoides,AAF9886,Terrestrial,Predaceous,Predaceous
Neophyllomyza quadricornis,AAG0160,Terrestrial,Nectar/Pollen/Honeydew Feeding and Kleptoparasitic,Saprophagous
Paramyia pseudonitens,AAG0169,Terrestrial,Nectar/Pollen/Honeydew Feeding and Kleptoparasitic,Saprophagous
Herina nigribasis,AAG0259,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Rivellia pallida,AAG0266,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Psectrotanypus sp. ES01,AAG0314,Aquatic,NonFeeding,Predaceous
Heteromyza oculata,AAG0366,Terrestrial,Unclear,Saprophagous
Suillia barberi,AAG0466,Terrestrial,Unclear,Mycophagous
Suillia longipennis,AAG0468,Terrestrial,Unclear,Mycophagous
Suillia loewi,AAG0470,Terrestrial,Unclear,Mycophagous
Cricotopus trifascia,AAG1004,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Cricotopus vierriensis,AAG1005,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Bryophaenocladius sp. 8ES,AAG1021,Aquatic,NonFeeding,Detritus and Algae Feeding
Tricimba melancholica,AAG1503,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Rhopalopterum soror,AAG1523,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Chalarus decorus,AAG1657,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Tomosvaryella sp. ON16,AAG1659,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Pseudocoenosia solitaria,AAG1690,Terrestrial,Predaceous,Predaceous
Helina subvittata,AAG1694,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Phaonia bysia,AAG1699,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Mesembrina latreillii,AAG1700,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Macrorchis ausoba,AAG1701,Terrestrial,Predaceous,Predaceous
Helina pectinata,AAG1703,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Lispocephala erythrocera,AAG1704,Terrestrial,Predaceous,Predaceous
Helina cinerella,AAG1706,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Anthomyia plurinotata,AAG1708,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Thricops diaphanus,AAG1710,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Helina depuncta,AAG1711,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Muscina pascuorum,AAG1714,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Mydaea detrita,AAG1715,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Helina troene,AAG1717,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Coenosia sp. 1 AKR,AAG1725,Terrestrial,Predaceous,Predaceous
Helina rufitibia,AAG1742,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Phaonia fuscana,AAG1743,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Hydrotaea scambus,AAG1768,Terrestrial,Predaceous or Saprophagous,Parasitic
Neodexiopsis calopyga,AAG1769,Terrestrial,Predaceous,Predaceous
Hydrotaea militaris,AAG1771,Terrestrial,Parasitic,Predaceous or Saprophagous
Phaonia apicata,AAG1772,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Mydaea furtiva,AAG1779,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Sylvicola cinctus,AAG1996,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Sylvicola fuscatus,AAG1998,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Sylvicola punctatus,AAG1999,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Sylvicola alternatus,AAG2000,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Dinera grisescens,AAG2123,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Eutrixa exilis,AAG2127,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Platymya confusionis,AAG2162,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Brachicoma devia,AAG2171,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Peleteria iterans,AAG2186,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Actia diffidens,AAG2354,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Zaphne subarctica,AAG2434,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Eutrichota tunicata,AAG2440,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Zaphne divisa,AAG2441,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Zaphne zetterstedtii,AAG2443,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Lasiomma collini,AAG2444,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Lasiomma cuneicorne,AAG2445,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Boreophorbia hirtipes,AAG2448,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Botanophila spinidens,AAG2455,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Mycophagous
Hydrophoria lancifer,AAG2460,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Botanophila fugax,AAG2462,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Hylemyza partita,AAG2463,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Pegomya geniculata,AAG2466,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Pegomya flavifrons,AAG2479,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Fucellia tergina,AAG2497,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Zaphne barbiventris,AAG2501,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Delia platura,AAG2511,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Lasiomma atricaudum,AAG2512,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Chaoborus punctipennis,AAG2647,Aquatic,NonFeeding,Predaceous
Philygria debilis,AAG2740,Aquatic,Detritus and Algae Feeding,Detritus and Algae Feeding
Megaselia ilca,AAG3233,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia subpalpalis,AAG3235,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Diplonevra nitidula,AAG3236,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Phora carlina,AAG3239,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Megaselia eccoptomera,AAG3250,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia hardingorum,AAG3274,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia agarici,AAG3285,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia lombardorum,AAG3286,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Gymnophora luteiventris,AAG3292,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Megaselia nigriceps,AAG3304,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia tecticauda,AAG3311,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia wiegmanae,AAG3312,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia hirticrus,AAG3316,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Lecanocerus compressiceps,AAG3338,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Parasitoid
Megaselia lutea,AAG3351,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia lucifrons,AAG3359,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Mycetophila luctuosa,AAG3628,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Sarcophaga sinuata,AAG3629,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Sargus decorus,AAG3694,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Procladius sp. 1ES,AAG3920,Aquatic,NonFeeding,Predaceous
