species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Fletcherimyia fletcheri,1_368,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Kleptoparasitic
Geomyza tripunctata,1_374,Terrestrial,Unclear,Leaf/Root/Stem Feeding
Graphomya minuta,1_386,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Hercostomus unicolor,1_416,SemiAquatic,Predaceous,Predaceous
Herina nigribasis,1_417,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Heterogenella hybrida,1_421,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Heteromyza oculata,1_422,Terrestrial,Unclear,Saprophagous
Hybos reversus,1_435,Terrestrial,Predaceous,Predaceous
Hydrobaenus conformis,1_437,Aquatic,NonFeeding,Detritus and Algae Feeding
Hydrophoria lancifer,1_438,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Hylemyza partita,1_443,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Hyperlasion wasmanni,1_444,Terrestrial,NonFeeding,Saprophagous
Lauterborniella agrayloides,1_473,Aquatic,NonFeeding,Detritus and Algae Feeding
Lecanocerus compressiceps,1_475,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Parasitoid
Leiomyza curvinervis,1_477,Terrestrial,Unclear,Mycophagous
Leptocera neofinalis,1_480,Terrestrial,Saprophagous,Saprophagous
Leucophenga varia,1_491,Terrestrial,Saprophagous,Mycophagous
Mayetiola destructor,1_531,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Megaphthalma pallida,1_535,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Melangyna lasiophthalma,1_541,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Melanostoma mellinum,1_546,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Meligramma triangulifera,1_548,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Meliscaeva cinctella,1_549,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Aphanotrigonum trilineatum,1_55,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Micropsectra insignilobus,1_571,Aquatic,NonFeeding,Detritus and Algae Feeding
Monoclona rufilatera,1_580,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Monopelopia tenuicalcar,1_582,Aquatic,NonFeeding,Predaceous
Morellia podagrica,1_583,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Mumetopia occipitalis,1_585,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Myospila meditabunda,1_598,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Aptilotus parvipennis,1_61,Terrestrial,Saprophagous,Saprophagous
Neomyia cornicina,1_614,Terrestrial,Saprophagous,Saprophagous
Nephrotoma ferruginea,1_622,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Nilotanypus fimbriatus,1_627,Aquatic,NonFeeding,Predaceous
Arctopelopia melanosoma,1_63,Aquatic,NonFeeding,Predaceous
Oedalea lanceolata,1_635,Terrestrial,Predaceous,Predaceous
Opalimosina mirabilis,1_642,Terrestrial,Saprophagous,Saprophagous
Paralauterborniella nigrohalteralis,1_674,Aquatic,NonFeeding,Detritus and Algae Feeding
Parametriocnemus boreoalpinus,1_675,Aquatic,NonFeeding,Detritus and Algae Feeding
Parasyrphus vockerothi,1_682,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Parochlus kiefferi,1_688,Aquatic,NonFeeding,Detritus and Algae Feeding
Asteromyia carbonifera,1_70,Terrestrial,NonFeeding,Mycophagous
Pentacricia aldrichii,1_700,Terrestrial,Predaceous,Predaceous
Penthetria heteroptera,1_701,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Phormia regina,1_719,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitic
Platycheirus rosarum,1_739,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Platymya confusionis,1_740,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Pogonota barbata,1_747,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Pollenia vagabunda,1_749,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Prosciara prosciaroides,1_762,Terrestrial,NonFeeding,Saprophagous
Protophormia terraenovae,1_766,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitic
Psectrotanypus sp. ES01,1_769,Aquatic,NonFeeding,Predaceous
Pseudacteon onyx,1_770,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Pseudopachychaeta ruficeps,1_780,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Pseudorthocladius curtistylus,1_782,Aquatic,NonFeeding,Detritus and Algae Feeding
Ravinia stimulans,1_799,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Rhagio gracilis,1_802,Terrestrial,Predaceous,Predaceous
Rheosmittia spinicornis,1_808,Aquatic,NonFeeding,Detritus and Algae Feeding
Rhingia nasica,1_810,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Rhopalopterum soror,1_814,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Rondaniella dimidiata,1_817,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Saigusaia cincta,1_822,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Saltella sphondylii,1_823,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Schizohelea leucopeza,1_836,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Schoenomyza litorella,1_837,Terrestrial,Predaceous,Predaceous
Azelia cilipes,1_84,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Shannonomyia lenta,1_852,Aquatic,NonFeeding,Saprophagous
Siphonella oscinina,1_855,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Smidtia fumiferanae,1_858,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Stomoxys calcitrans,1_889,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Belida chaetoneura,1_89,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Suillia longipennis,1_896,Terrestrial,Unclear,Mycophagous
Sylvicola fuscatus,1_897,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Symphoromyia fulvipes,1_899,Terrestrial,Parasitic,Saprophagous
Tachina marklini,1_916,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Terrilimosina schmitzi,1_930,Terrestrial,Saprophagous,Saprophagous
Thaumatomyia glabra,1_935,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Tipulogaster glabrata,1_945,Terrestrial,Predaceous,Predaceous
Trichocera regelationis,1_954,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Trichopalpus punctipes,1_957,Aquatic,Predaceous,Predaceous
Trophithauma rostratum,1_968,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Parasitoid
Ula sylvatica,1_975,Terrestrial,NonFeeding,Saprophagous
Zaphne zetterstedtii,1_998,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Boletina nitiduloides,10_106,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Cladotanytarsus amandus,10_186,Aquatic,NonFeeding,Detritus and Algae Feeding
Coenosia conforma,10_204,Terrestrial,Predaceous,Predaceous
Cratyna uliginosoides,10_227,Terrestrial,NonFeeding,Saprophagous
Cricotopus intersectus,10_228,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Dasyhelea arenivaga,10_256,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Laphria scorpio,10_466,Terrestrial,Predaceous,Predaceous
Limnophyes ninae,10_500,SemiAquatic,NonFeeding,Saprophagous
Metriocnemus eurynotus,10_561,Aquatic,NonFeeding,Leaf/Root/Stem Feeding
Micropsectra polita,10_571,Aquatic,NonFeeding,Detritus and Algae Feeding
Mydaea furtiva,10_593,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Paraphaenocladius impensus,10_677,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Phaonia tuguriorum,10_710,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Platypalpus trivialis,10_741,Terrestrial,Predaceous,Predaceous
Psectrocladius schlienzi,10_768,Aquatic,NonFeeding,Detritus and Algae Feeding
Siphona intrudens,10_854,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Aedes canadensis,11_14,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Corynoneura sp. 1ES,11_223,Aquatic,NonFeeding,Detritus and Algae Feeding
Corynoptera cuniculata,11_225,Terrestrial,NonFeeding,Saprophagous
Limnophyes ninae,11_500,SemiAquatic,NonFeeding,Saprophagous
Metriocnemus brusti,11_561,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Paraphaenocladius impensus,11_677,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Psectrocladius limbatellus,11_768,Aquatic,NonFeeding,Detritus and Algae Feeding
Scatopsciara fera,11_832,Terrestrial,NonFeeding,Saprophagous
Smittia edwardsi,11_859,Terrestrial,NonFeeding,Detritus and Algae Feeding
Chalarus sp. OR1,12_163,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Helina laxifrons,12_409,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Medetera vittata,12_532,Terrestrial,Predaceous,Predaceous
Mycetophila caudata,12_590,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Procladius denticulatus,12_759,Aquatic,NonFeeding,Predaceous
Psectrocladius barbimanus,12_768,Aquatic,NonFeeding,Detritus and Algae Feeding
Boletina populina,13_106,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Chironomus sp. TE11,13_173,Aquatic,NonFeeding,Detritus and Algae Feeding
Dasineura mali,13_254,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Helina subvittata,13_409,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Hydrotaea militaris,13_441,Terrestrial,Parasitic,Predaceous or Saprophagous
Liriomyza fricki,13_507,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Medetera vittata,13_532,Terrestrial,Predaceous,Predaceous
Metriocnemus sp. 1ES,13_561,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Mycomya shermani,13_592,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Paraphaenocladius impensus,13_677,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Phaonia pallidosa,13_710,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Pipunculus luteicornis,13_738,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Tanytarsus gracilentus,13_921,Aquatic,NonFeeding,Detritus and Algae Feeding
Bradysia strigata,14_118,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Cerodontha capitata,14_151,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Chalarus decorus,14_163,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Chironomus acidophilus,14_173,Aquatic,NonFeeding,Detritus and Algae Feeding
Corynoptera praeforcipata,14_225,Terrestrial,NonFeeding,Saprophagous
Cricotopus trifascia,14_228,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Helina spinosa,14_409,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Hydrotaea scambus,14_441,Terrestrial,Parasitic,Predaceous or Saprophagous
Medetera vittata,14_532,Terrestrial,Predaceous,Predaceous
Mycomya nitida,14_592,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Phaonia subfuscinervis,14_710,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Smittia sp. 14ES,14_859,Terrestrial,NonFeeding,Detritus and Algae Feeding
Bradysia hilaris,15_118,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Coenosia campestris,15_204,Terrestrial,Predaceous,Predaceous
Corynoptera bicuspidata,15_225,Terrestrial,NonFeeding,Saprophagous
Culicoides obsoletus,15_239,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Delia albula,15_260,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Drosophila affinis,15_302,Terrestrial,Saprophagous,Saprophagous
Exechia subfrigida,15_360,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Helina troene,15_409,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Limnophyes minimus,15_500,SemiAquatic,NonFeeding,Saprophagous
Megaselia sulphurizona,15_537,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Orthocladius sp. TE13,15_651,Aquatic,NonFeeding,Detritus and Algae Feeding
Phaonia rugia,15_710,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Procladius sp. ES04,15_759,Aquatic,NonFeeding,Predaceous
Scatopsciara neglecta,15_832,Terrestrial,NonFeeding,Saprophagous
Cerodontha dorsalis,16_151,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Limnophyes schnelli,16_500,SemiAquatic,NonFeeding,Saprophagous
Lycoriella flavipeda,16_520,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Paratanytarsus laccophilus,16_683,Aquatic,NonFeeding,Detritus and Algae Feeding
Phronia tenuis,16_722,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Coenosia intacta,17_204,Terrestrial,Predaceous,Predaceous
Gymnopternus subulatus,17_395,SemiAquatic,Predaceous,Predaceous
Liriomyza brassicae,17_507,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Megaselia tecticauda,17_537,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Mydaea affinis,17_593,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Phronia cinerascens,17_722,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Platypalpus xanthopodus,17_741,Terrestrial,Predaceous,Predaceous
Scatopsciara atomaria,17_832,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Boletina groenlandica,18_106,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Coenosia laeta,18_204,Terrestrial,Predaceous,Predaceous
Corynoptera melanochaeta,18_225,Terrestrial,NonFeeding,Saprophagous
Cricotopus perniger,18_228,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Limnophyes pumilio,18_500,SemiAquatic,NonFeeding,Saprophagous
Paratanytarsus austriacus,18_683,Aquatic,NonFeeding,Detritus and Algae Feeding
Spilogona obscuripennis,18_875,Aquatic,Predaceous,Predaceous
Bradysia nitidicollis,19_118,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Aedes ventrovittis,19_14,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Chironomus harpi,19_173,Aquatic,NonFeeding,Detritus and Algae Feeding
Corynoptera cursor,19_225,Terrestrial,NonFeeding,Saprophagous
Megaselia ilca,19_537,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Mycetophila luctuosa,19_590,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Scatopsciara atomaria,19_832,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Simulium silvestre,19_853,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Botanophila varicolor,2_112,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Mycophagous
Camptocladius stercorarius,2_137,Terrestrial,NonFeeding,Detritus and Algae Feeding
Cerodontha muscina,2_151,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Chaoborus flavicans,2_166,Aquatic,NonFeeding,Predaceous
Chelipoda truncata,2_170,Aquatic,NonFeeding,Predaceous
Chrysops cuclux,2_177,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous or Saprophagous
Chrysotus sp. SEB1,2_182,SemiAquatic,Predaceous,Predaceous
Chymomyza costata,2_184,Terrestrial,Saprophagous,Saprophagous
Coenosia pumila,2_204,Terrestrial,Predaceous,Predaceous
Allocladius sp. 1ES,2_21,Aquatic,NonFeeding,Detritus and Algae Feeding
Conioscinella sp. TAW2,2_211,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Coquillettidia perturbans,2_218,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Dasyhelea modesta,2_256,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Dasyopa triangulata,2_257,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Dasyphora sp.,2_258,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Dasysyrphus venustus,2_259,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Diamesa nr. hyperborea,2_266,Aquatic,NonFeeding,Detritus and Algae Feeding
Dicrotendipes modestus,2_276,Aquatic,NonFeeding,Detritus and Algae Feeding
Dryomyza setosa,2_304,Terrestrial,Saprophagous,Saprophagous
Eupeodes montivagus,2_345,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Eutrichota tarsata,2_356,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Forcipomyia bipunctata,2_369,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Anasimyia perfidiosa,2_39,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Gymnometriocnemus brumalis,2_392,Terrestrial,NonFeeding,Detritus and Algae Feeding
Helophilus sp. nov.,2_412,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Heterotrissocladius sp. ES01,2_423,Aquatic,NonFeeding,Detritus and Algae Feeding
Hybomitra zonalis,2_434,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Incertella minor,2_455,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Lauxania shewelli,2_474,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Leptocera caenosa,2_480,SemiAquatic,Saprophagous,Saprophagous
Leptogaster flavipes,2_481,Terrestrial,Predaceous,Predaceous
Leptopeza flavipes,2_484,Terrestrial,Predaceous,Predaceous
Anthomyia mimetica,2_49,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Limnophyes sp. 11ES,2_500,SemiAquatic,NonFeeding,Saprophagous
Lucilia silvarum,2_517,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Mesembrina latreillii,2_553,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Metacnephia borealis,2_557,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Musca autumnalis,2_586,Terrestrial,"Nectar/Pollen/Honeydew Feeding, Saprophagous and Parasitic",Saprophagous
Mycetophila sordida,2_590,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Mydaea pseudonubila,2_593,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Apteromyia claviventris,2_60,Terrestrial,Saprophagous,Leaf/Root/Stem Feeding or Saprophagous
Neoascia tenur,2_608,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Neodexiopsis calopyga,2_609,Terrestrial,Predaceous,Predaceous
Neurigona ciliata,2_624,SemiAquatic,Predaceous,Predaceous
Olcella parva,2_638,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Paratanytarsus natvigi,2_683,Aquatic,NonFeeding,Detritus and Algae Feeding
Peleteria iterans,2_695,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Phaonia apicalis,2_710,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Philygria vittipennis,2_716,Aquatic,Detritus and Algae Feeding,Detritus and Algae Feeding
Pipiza quadrimaculata,2_737,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Poecilolycia aspinosa,2_745,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Pollenia labialis,2_749,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Aulacigaster neoleucopeza,2_79,Aquatic,Unclear,Saprophagous
Ptilodexia conjuncta,2_790,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Rhopalopterum soror,2_814,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Rivellia pallida,2_815,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Sapromyza brachysoma,2_824,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Scatopsciara vitripennis,2_832,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Stempellinella edwardsi,2_880,Aquatic,NonFeeding,Detritus and Algae Feeding
Stenopogon inquinatus,2_883,Terrestrial,Predaceous,Predaceous
Stilpon curvipes,2_887,Terrestrial,Predaceous,Predaceous
Suillia sororcula,2_896,Terrestrial,Unclear,Mycophagous
Sylvicola punctatus,2_897,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Actia interrupta,2_9,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Beris fuscipes,2_91,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Syrphus vitripennis,2_911,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Tachinomyia variata,2_917,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Thaumatomyia pulla,2_935,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Bibio fumipennis,2_94,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Saprophagous
Thricops villicrus,2_943,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Tokunagaia obriaini,2_947,Aquatic,NonFeeding,Detritus and Algae Feeding
Toxomerus marginatus,2_949,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Bicellaria lugubris,2_95,Terrestrial,Predaceous,Predaceous
Tricimba melancholica,2_962,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Trixoscelis fumipennis,2_966,Terrestrial,Unclear,Saprophagous
Tvetenia paucunca,2_973,Aquatic,NonFeeding,Detritus and Algae Feeding
Boletina sp. CJB02,20_106,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Chironomus sp. 8TE,20_173,Aquatic,NonFeeding,Detritus and Algae Feeding
Coenosia sp. 1 AKR,20_204,Terrestrial,Predaceous,Predaceous
Corynoptera subtrivialis,20_225,Terrestrial,NonFeeding,Saprophagous
Limnophyes brachytomus,20_500,SemiAquatic,NonFeeding,Saprophagous
Megaselia fungivora,20_537,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Mycetophila stricklandi,20_590,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Smittia sp. 16ES,20_859,Terrestrial,NonFeeding,Detritus and Algae Feeding
Tanytarsus allicis,20_921,Aquatic,NonFeeding,Detritus and Algae Feeding
Corynoptera barbata,21_225,Terrestrial,NonFeeding,Saprophagous
Delia platura,21_260,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
