species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Symphoromyia fulvipes,1_899,Terrestrial,Saprophagous,Saprophagous
Tachina marklini,1_916,Terrestrial,Phytophagous,Parasitic
Terrilimosina schmitzi,1_930,SemiAquatic,N/A,Saprophagous
Thaumatomyia glabra,1_935,Terrestrial,Phytophagous,Phytophagous
Tipulogaster glabrata,1_945,Terrestrial,Predaceous,Predaceous
Trichocera regelationis,1_954,Terrestrial,N/A,Saprophagous
Trichopalpus punctipes,1_957,Terrestrial,Predaceous,Phytophagous
Trophithauma rostratum,1_968,Terrestrial,Saprophagous,Saprophagous
Ula sylvatica,1_975,Terrestrial,N/A,Saprophagous
Zaphne zetterstedtii,1_998,Terrestrial,Phytophagous,Phytophagous
Boletina nitiduloides,10_106,Terrestrial,N/A,Saprophagous
Cladotanytarsus amandus,10_186,Aquatic,N/A,Phytophagous
Coenosia conforma,10_204,Terrestrial,Predaceous,Predaceous
Cratyna uliginosoides,10_227,Terrestrial,N/A,Saprophagous
Cricotopus intersectus,10_228,Aquatic,N/A,Phytophagous
Dasyhelea arenivaga,10_256,SemiAquatic,Predaceous & Phytophagous,Omnivores 
Laphria scorpio,10_466,Terrestrial,Predaceous,Predaceous
Limnophyes ninae,10_500,Aquatic,N/A,Phytophagous
Metriocnemus eurynotus,10_561,Aquatic,N/A,Saprophagous
Micropsectra polita,10_571,Aquatic,N/A,Phytophagous
Mydaea furtiva,10_593,Terrestrial,Phytophagous,Predaceous
Paraphaenocladius impensus,10_677,Aquatic,N/A,Phytophagous
Phaonia tuguriorum,10_710,Terrestrial,Phytophagous,Predaceous
Platypalpus trivialis,10_741,Terrestrial,Predaceous,Predaceous
Psectrocladius schlienzi,10_768,Aquatic,N/A,Phytophagous
Siphona intrudens,10_854,Terrestrial,Phytophagous,Parasitic
Aedes canadensis,11_14,Aquatic,Predaceous & Phytophagous,Omnivores 
Corynoneura sp. 1ES,11_223,Aquatic,N/A,Phytophagous
Corynoptera cuniculata,11_225,Terrestrial,N/A,Saprophagous
Limnophyes ninae,11_500,Aquatic,N/A,Phytophagous
Metriocnemus brusti,11_561,Aquatic,N/A,Saprophagous
Paraphaenocladius impensus,11_677,Aquatic,N/A,Phytophagous
Psectrocladius limbatellus,11_768,Aquatic,N/A,Phytophagous
Scatopsciara fera,11_832,Terrestrial,N/A,Phytophagous
Smittia edwardsi,11_859,Terrestrial,N/A,Phytophagous
Chalarus sp. OR1,12_163,Terrestrial,Phytophagous,Parasitic
Helina laxifrons,12_409,Terrestrial,Saprophagous,Saprophagous
Medetera vittata,12_532,SemiAquatic,Predaceous,Predaceous
Mycetophila caudata,12_590,Terrestrial,N/A,Fungivore
Procladius denticulatus,12_759,Aquatic,N/A,Predaceous
Psectrocladius barbimanus,12_768,Aquatic,N/A,Phytophagous
Boletina populina,13_106,Terrestrial,N/A,Saprophagous
Chironomus sp. TE11,13_173,Aquatic,N/A,Phytophagous
Dasineura mali,13_254,Terrestrial,N/A,Phytophagous
Helina subvittata,13_409,Terrestrial,Saprophagous,Saprophagous
Hydrotaea militaris,13_441,Terrestrial,Saprophagous,Saprophagous
Liriomyza fricki,13_507,Terrestrial,Phytophagous,Phytophagous
Medetera vittata,13_532,SemiAquatic,Predaceous,Predaceous
Metriocnemus sp. 1ES,13_561,Aquatic,N/A,Saprophagous
Mycomya shermani,13_592,Terrestrial,N/A,Fungivore
Paraphaenocladius impensus,13_677,Aquatic,N/A,Phytophagous
Phaonia pallidosa,13_710,Terrestrial,Phytophagous,Predaceous
Pipunculus luteicornis,13_738,Terrestrial,Phytophagous,Parasitic
Tanytarsus gracilentus,13_921,Aquatic,N/A,Saprophagous
Bradysia strigata,14_118,Terrestrial,N/A,Fungivore & Phytophagous
Cerodontha capitata,14_151,Terrestrial,Phytophagous,Phytophagous
Chalarus decorus,14_163,Terrestrial,Phytophagous,Parasitic
Chironomus acidophilus,14_173,Aquatic,N/A,Phytophagous
Corynoptera praeforcipata,14_225,Terrestrial,N/A,Saprophagous
Cricotopus trifascia,14_228,Aquatic,N/A,Phytophagous
Helina spinosa,14_409,Terrestrial,Saprophagous,Saprophagous
Hydrotaea scambus,14_441,Terrestrial,Saprophagous,Saprophagous
Medetera vittata,14_532,SemiAquatic,Predaceous,Predaceous
Mycomya nitida,14_592,Terrestrial,N/A,Fungivore
Phaonia subfuscinervis,14_710,Terrestrial,Phytophagous,Predaceous
Smittia sp. 14ES,14_859,Terrestrial,N/A,Phytophagous
Bradysia hilaris,15_118,Terrestrial,N/A,Fungivore & Phytophagous
Coenosia campestris,15_204,Terrestrial,Predaceous,Predaceous
Corynoptera bicuspidata,15_225,Terrestrial,N/A,Saprophagous
Culicoides obsoletus,15_239,SemiAquatic,Predaceous & Phytophagous,Omnivores 
Delia albula,15_260,Terrestrial,Phytophagous,Phytophagous
Drosophila affinis,15_302,Terrestrial,Saprophagous,Saprophagous
Exechia subfrigida,15_360,Terrestrial,N/A,Fungivore
Helina troene,15_409,Terrestrial,Saprophagous,Saprophagous
Limnophyes minimus,15_500,Aquatic,N/A,Phytophagous
Megaselia sulphurizona,15_537,Terrestrial,Saprophagous,Saprophagous
Orthocladius sp. TE13,15_651,Aquatic,N/A,Saprophagous
Phaonia rugia,15_710,Terrestrial,Phytophagous,Predaceous
Procladius sp. ES04,15_759,Aquatic,N/A,Predaceous
Scatopsciara neglecta,15_832,Terrestrial,N/A,Phytophagous
Cerodontha dorsalis,16_151,Terrestrial,Phytophagous,Phytophagous
Limnophyes schnelli,16_500,Aquatic,N/A,Phytophagous
Lycoriella flavipeda,16_520,Terrestrial,N/A,Fungivore
Paratanytarsus laccophilus,16_683,Aquatic,N/A,Saprophagous
Phronia tenuis,16_722,Terrestrial,N/A,Fungivore
Coenosia intacta,17_204,Terrestrial,Predaceous,Predaceous
Gymnopternus subulatus,17_395,SemiAquatic,Predaceous,Predaceous
Liriomyza brassicae,17_507,Terrestrial,Phytophagous,Phytophagous
Megaselia tecticauda,17_537,Terrestrial,Saprophagous,Saprophagous
Mydaea affinis,17_593,Terrestrial,Phytophagous,Predaceous
Phronia cinerascens,17_722,Terrestrial,N/A,Fungivore
Platypalpus xanthopodus,17_741,Terrestrial,Predaceous,Predaceous
Scatopsciara atomaria,17_832,Terrestrial,N/A,Phytophagous
Boletina groenlandica,18_106,Terrestrial,N/A,Saprophagous
Coenosia laeta,18_204,Terrestrial,Predaceous,Predaceous
Corynoptera melanochaeta,18_225,Terrestrial,N/A,Saprophagous
Cricotopus perniger,18_228,Aquatic,N/A,Phytophagous
Limnophyes pumilio,18_500,Aquatic,N/A,Phytophagous
Paratanytarsus austriacus,18_683,Aquatic,N/A,Saprophagous
Spilogona obscuripennis,18_875,Terrestrial,Predaceous,Predaceous
Bradysia nitidicollis,19_118,Terrestrial,N/A,Fungivore & Phytophagous
Aedes ventrovittis,19_14,Aquatic,Predaceous & Phytophagous,Omnivores 
Chironomus harpi,19_173,Aquatic,N/A,Phytophagous
Corynoptera cursor,19_225,Terrestrial,N/A,Saprophagous
Megaselia ilca,19_537,Terrestrial,Saprophagous,Saprophagous
Mycetophila luctuosa,19_590,Terrestrial,N/A,Fungivore
Scatopsciara atomaria,19_832,Terrestrial,N/A,Phytophagous
Simulium silvestre,19_853,Aquatic,Predaceous,Saprophagous
Botanophila varicolor,2_112,Terrestrial,Fungivore & Phytophagous,Fungivore & Phytophagous
Camptocladius stercorarius,2_137,Aquatic,N/A,Phytophagous
Cerodontha muscina,2_151,Terrestrial,Phytophagous,Phytophagous
Chaoborus flavicans,2_166,Aquatic,N/A,Predaceous
Chelipoda truncata,2_170,Aquatic,Predaceous,Predaceous
Chrysops cuclux,2_177,Aquatic,Predaceous & Phytophagous,Phytophagous
Chrysotus sp. SEB1,2_182,SemiAquatic,Predaceous,Predaceous
Chymomyza costata,2_184,Terrestrial,Saprophagous,Saprophagous
Coenosia pumila,2_204,Terrestrial,Predaceous,Predaceous
Allocladius sp. 1ES,2_21,Aquatic,N/A,Phytophagous
Conioscinella sp. TAW2,2_211,Terrestrial,Phytophagous,Phytophagous
Coquillettidia perturbans,2_218,Aquatic,Predaceous & Phytophagous,Omnivores 
Dasyhelea modesta,2_256,SemiAquatic,Predaceous & Phytophagous,Omnivores 
Dasyopa triangulata,2_257,Terrestrial,Phytophagous,Phytophagous
Dasyphora sp.,2_258,Terrestrial,Saprophagous,Saprophagous
Dasysyrphus venustus,2_259,Terrestrial,Phytophagous,Predaceous
Diamesa nr. hyperborea,2_266,Aquatic,N/A,Saprophagous
Dicrotendipes modestus,2_276,Aquatic,N/A,Phytophagous
Dryomyza setosa,2_304,Aquatic,N/A,Predaceous
Eupeodes montivagus,2_345,Terrestrial,Phytophagous,Predaceous
Eutrichota tarsata,2_356,Terrestrial,Phytophagous,Phytophagous
Forcipomyia bipunctata,2_369,Terrestrial,Predaceous & Phytophagous,Omnivores 
Anasimyia perfidiosa,2_39,Terrestrial,Phytophagous,Phytophagous
Gymnometriocnemus brumalis,2_392,Terrestrial,N/A,Phytophagous
Helophilus sp. nov.,2_412,Terrestrial,Phytophagous,Phytophagous
Heterotrissocladius sp. ES01,2_423,Aquatic,N/A,Phytophagous
Hybomitra zonalis,2_434,Terrestrial,Phytophagous,Phytophagous
Incertella minor,2_455,Terrestrial,Phytophagous,Phytophagous
Lauxania shewelli,2_474,Terrestrial,Fungivore & Phytophagous,Saprophagous
Leptocera caenosa,2_480,SemiAquatic,N/A,Saprophagous
Leptogaster flavipes,2_481,Terrestrial,Predaceous,Predaceous
Leptopeza flavipes,2_484,Terrestrial,Predaceous,Predaceous
Anthomyia mimetica,2_49,Terrestrial,Phytophagous,Phytophagous
Limnophyes sp. 11ES,2_500,Aquatic,N/A,Phytophagous
Lucilia silvarum,2_517,Terrestrial,Saprophagous,Saprophagous
Mesembrina latreillii,2_553,Terrestrial,Saprophagous,Saprophagous
Metacnephia borealis,2_557,Aquatic,Saprophagous,Saprophagous
Musca autumnalis,2_586,Terrestrial,Predaceous,Predaceous
Mycetophila sordida,2_590,Terrestrial,N/A,Fungivore
Mydaea pseudonubila,2_593,Terrestrial,Phytophagous,Predaceous
Apteromyia claviventris,2_60,SemiAquatic,N/A,Saprophagous
Neoascia tenur,2_608,Terrestrial,Phytophagous,Phytophagous
Neodexiopsis calopyga,2_609,Terrestrial,Predaceous,Predaceous
Neurigona ciliata,2_624,SemiAquatic,Predaceous,Predaceous
Olcella parva,2_638,Terrestrial,Phytophagous,Phytophagous
Paratanytarsus natvigi,2_683,Aquatic,N/A,Saprophagous
Peleteria iterans,2_695,Terrestrial,Phytophagous,Parasitic
Phaonia apicalis,2_710,Terrestrial,Phytophagous,Predaceous
Philygria vittipennis,2_716,Aquatic,Phytophagous,Phytophagous
Pipiza quadrimaculata,2_737,Terrestrial,Phytophagous,Predaceous
Poecilolycia aspinosa,2_745,Terrestrial,Fungivore & Phytophagous,Saprophagous
Pollenia labialis,2_749,Terrestrial,Phytophagous,Parasitic
Aulacigaster neoleucopeza,2_79,Terrestrial,Phytophagous,Phytophagous
Ptilodexia conjuncta,2_790,Terrestrial,Phytophagous,Parasitic
Rhopalopterum soror,2_814,Terrestrial,Phytophagous,Phytophagous
Rivellia pallida,2_815,Terrestrial,Phytophagous,Phytophagous
Sapromyza brachysoma,2_824,Terrestrial,Fungivore & Phytophagous,Saprophagous
Scatopsciara vitripennis,2_832,Terrestrial,N/A,Phytophagous
Stempellinella edwardsi,2_880,Aquatic,N/A,Phytophagous
Stenopogon inquinatus,2_883,Terrestrial,Predaceous,Predaceous
Stilpon curvipes,2_887,Terrestrial,Predaceous,Predaceous
Suillia sororcula,2_896,Terrestrial,N/A,Fungivore
Sylvicola punctatus,2_897,Terrestrial,Phytophagous,Predaceous
Actia interrupta,2_9,Terrestrial,Phytophagous,Parasitic
Beris fuscipes,2_91,Terrestrial,N/A,Saprophagous
Syrphus vitripennis,2_911,Terrestrial,Phytophagous,Predaceous
Tachinomyia variata,2_917,Terrestrial,Phytophagous,Parasitic
Thaumatomyia pulla,2_935,Terrestrial,Phytophagous,Phytophagous
Bibio fumipennis,2_94,Terrestrial,N/A,Saprophagous
Thricops villicrus,2_943,Terrestrial,Phytophagous,Phytophagous
Tokunagaia obriaini,2_947,Aquatic,N/A,Phytophagous
Toxomerus marginatus,2_949,Terrestrial,Phytophagous,Predaceous
Bicellaria lugubris,2_95,Terrestrial,Predaceous,Predaceous
Tricimba melancholica,2_962,Terrestrial,Phytophagous,Phytophagous
Trixoscelis fumipennis,2_966,Terrestrial,N/A,Saprophagous
Tvetenia paucunca,2_973,Aquatic,N/A,Phytophagous
Boletina sp. CJB02,20_106,Terrestrial,N/A,Saprophagous
Chironomus sp. 8TE,20_173,Aquatic,N/A,Phytophagous
Coenosia sp. 1 AKR,20_204,Terrestrial,Predaceous,Predaceous
Corynoptera subtrivialis,20_225,Terrestrial,N/A,Saprophagous
Limnophyes brachytomus,20_500,Aquatic,N/A,Phytophagous
Megaselia fungivora,20_537,Terrestrial,Saprophagous,Saprophagous
Mycetophila stricklandi,20_590,Terrestrial,N/A,Fungivore
Smittia sp. 16ES,20_859,Terrestrial,N/A,Phytophagous
Tanytarsus allicis,20_921,Aquatic,N/A,Saprophagous
Corynoptera barbata,21_225,Terrestrial,N/A,Saprophagous
Delia platura,21_260,Terrestrial,Phytophagous,Phytophagous
Limnophyes minimus,21_500,Aquatic,N/A,Phytophagous
Simulium furculatum,21_853,Aquatic,Predaceous,Saprophagous
Tanytarsus recurvatus,21_921,Aquatic,N/A,Saprophagous
Limnophyes natalensis,22_500,Aquatic,N/A,Phytophagous
Bradysia impatiens,23_118,Terrestrial,N/A,Fungivore & Phytophagous
Drosophila falleni,23_302,Terrestrial,Saprophagous,Saprophagous
Eudorylas sp. ON6,23_334,Terrestrial,Phytophagous,Parasitic
Fannia spathiophora,23_365,Terrestrial,Saprophagous,Saprophagous
Limnophyes minimus,23_500,Aquatic,N/A,Phytophagous
Mycetophila perpallida,23_590,Terrestrial,N/A,Fungivore
Phaonia pallidisquama,23_710,Terrestrial,Phytophagous,Predaceous
Pipunculus hertzogi,23_738,Terrestrial,Phytophagous,Parasitic
Simulium vittatum complex,23_853,Aquatic,Predaceous & Phytophagous,Phytophagous
Tetanocera plumosa,23_931,Aquatic,Phytophagous,Predaceous
Aedes melanimon,24_14,Aquatic,Predaceous & Phytophagous,Omnivores 
Chironomus atrella,24_173,Aquatic,N/A,Phytophagous
Coenosia octopunctata,24_204,Terrestrial,Predaceous,Predaceous
Corynoptera trepida,24_225,Terrestrial,N/A,Saprophagous
Dolichopus diversipennis,24_296,SemiAquatic,Predaceous,Predaceous
Eudorylas subopacus,24_334,Terrestrial,Phytophagous,Parasitic
Fannia brooksi,24_365,Terrestrial,Saprophagous,Saprophagous
Phaonia luteva,24_710,Terrestrial,Phytophagous,Predaceous
Spilogona zaitzevi,24_875,Terrestrial,Predaceous,Predaceous
Coenosia tigrina,25_204,Terrestrial,Predaceous,Predaceous
Drosophila subquinaria,25_302,Terrestrial,Fungivore,Fungivore
Platypalpus nr. hyaenoides,25_741,Terrestrial,Predaceous,Predaceous
Chironomus sp. 9TE,26_173,Aquatic,N/A,Phytophagous
Cricotopus sp. 18ES,26_228,Aquatic,N/A,Phytophagous
Orthocladius mallochi,26_651,Aquatic,N/A,Saprophagous
Rhamphomyia laevigata,26_804,Terrestrial,Predaceous,Predaceous
Cricotopus vierriensis,27_228,Aquatic,N/A,Phytophagous
Dolichopus comatus,27_296,SemiAquatic,Predaceous,Predaceous
Megaselia pleuralis,28_537,Terrestrial,Saprophagous,Saprophagous
Ablabesmyia aspera,3_1,Aquatic,N/A,Phytophagous
Boettcheria latisterna,3_104,Terrestrial,Saprophagous,Saprophagous
Botanophila striolata,3_112,Terrestrial,Fungivore & Phytophagous,Fungivore & Phytophagous
Bradysia inusitata,3_118,Terrestrial,N/A,Fungivore & Phytophagous
Bradysiopsis vittigera,3_119,Terrestrial,N/A,Saprophagous
Camptochaeta hirtula,3_136,Terrestrial,N/A,Fungivore
Campylocheta townsendi,3_139,Terrestrial,N/A,Fungivore
Campylomyza dilatata,3_140,Terrestrial,N/A,Phytophagous
Cerodontha muscina,3_151,Terrestrial,Phytophagous,Phytophagous
Conchapelopia pallens,3_208,Aquatic,N/A,Phytophagous
Condylostylus patibulatus,3_209,SemiAquatic,Predaceous,Predaceous
Cordilura atrata,3_219,Terrestrial,Predaceous,Phytophagous
Cratyna fulvicauda,3_227,Terrestrial,N/A,Saprophagous
Dicrotendipes modestus,3_276,Aquatic,N/A,Phytophagous
Dorylomorpha simplex,3_299,Terrestrial,Phytophagous,Parasitic
Dryomyza anilis,3_304,Aquatic,N/A,Predaceous
Gymnophora subarcuata,3_394,Terrestrial,Saprophagous,Saprophagous
Leptocera erythrocera,3_480,SemiAquatic,N/A,Saprophagous
Anthomyia pluvialis,3_49,Terrestrial,Phytophagous,Phytophagous
Limnophila rufibasis,3_498,SemiAquatic,N/A,Saprophagous
Limnophora sp. 2 AKR,3_499,Terrestrial,Predaceous,Predaceous
Anthomyza vockerothi,3_50,Terrestrial,N/A,Saprophagous
Limonia immatura,3_502,SemiAquatic,N/A,Saprophagous
Liriomyza baptisiae,3_507,Terrestrial,Phytophagous,Phytophagous
Lispe uliginosa,3_508,Aquatic,Predaceous,Predaceous
Apallates coxendix,3_54,Terrestrial,Phytophagous,Phytophagous
Metalimnobia immatura,3_558,SemiAquatic,N/A,Saprophagous
Metriocnemus sp. 4ES,3_561,Aquatic,N/A,Saprophagous
Mycetophila ocellus,3_590,Terrestrial,N/A,Fungivore
Mydaea occidentalis,3_593,Terrestrial,Phytophagous,Predaceous
Neophyllomyza quadricornis,3_616,Terrestrial,Saprophagous,Saprophagous
Orfelia nemoralis,3_648,Terrestrial,N/A,Predaceous
Ormosia rubella,3_649,SemiAquatic,N/A,Saprophagous
Paracladopelma winnelli,3_667,Aquatic,N/A,Phytophagous
Paramyia silvestris,3_676,Terrestrial,Saprophagous,Saprophagous
Pegoplata nigroscutellata,3_693,Terrestrial,Phytophagous,Phytophagous
Peyerimhoffia vagabunda,3_705,Terrestrial,N/A,Saprophagous
Phaonia bysia,3_710,Terrestrial,Phytophagous,Predaceous
Phytosciara plusiochaeta,3_734,Terrestrial,N/A,Saprophagous
Psectrocladius fennicus,3_768,Aquatic,N/A,Phytophagous
Pseudocoenosia solitaria,3_774,Terrestrial,Predaceous,Predaceous
Pseudolycoriella brunnea,3_778,Terrestrial,N/A,Saprophagous
Pullimosina pullula,3_793,SemiAquatic,N/A,Saprophagous
Ravinia planifrons,3_799,Terrestrial,Saprophagous,Saprophagous
Sarcophaga caerulescens,3_825,Terrestrial,Saprophagous,Saprophagous
Scaptomyza adusta,3_828,Terrestrial,Saprophagous,Saprophagous
Scathophaga stercoraria,3_830,Terrestrial,Predaceous & Phytophagous,Saprophagous
Sciara humeralis,3_840,Terrestrial,N/A,Saprophagous
Sericomyia militaris,3_851,Terrestrial,Phytophagous,Phytophagous
Spilogona novemmaculata,3_875,Terrestrial,Predaceous,Predaceous
Stegopterna sp.,3_879,Aquatic,Predaceous & Phytophagous,Saprophagous
Suillia loewi,3_896,Terrestrial,N/A,Fungivore
Sylvicola punctatus,3_897,Terrestrial,Phytophagous,Predaceous
Temnostoma venustum,3_926,Terrestrial,Phytophagous,Phytophagous
Thaumatomyia trifasciata,3_935,Terrestrial,Phytophagous,Phytophagous
Thricops tarsalis,3_943,Terrestrial,Phytophagous,Phytophagous
Bicellaria furcifer,3_95,Terrestrial,Predaceous,Predaceous
Trachyopella nuda,3_951,SemiAquatic,N/A,Saprophagous
Xylophagus reflectens,3_992,Terrestrial,Phytophagous,Predaceous
Megaselia spinigera,30_537,Terrestrial,Saprophagous,Saprophagous
Rhamphomyia nigrita,30_804,Terrestrial,Predaceous,Predaceous
Bradysia placida,31_118,Terrestrial,N/A,Fungivore & Phytophagous
Bradysia browni,32_118,Terrestrial,N/A,Fungivore & Phytophagous
Fannia corvina,33_365,Terrestrial,Saprophagous,Saprophagous
Tanytarsus dendyi,33_921,Aquatic,N/A,Saprophagous
Dolichopus sp. nr. remus,34_296,SemiAquatic,Predaceous,Predaceous
Megaselia agarici,34_537,Terrestrial,Saprophagous,Saprophagous
